,Region,Area,Site_Name,place_name(googleAPI),lat,lng,tag,tag_zh,Site_Type,rating,formatted_address
0,東北,岩手,中尊寺,中尊寺,39.0017355,141.102596,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tree ,Tourism ,Building ,Autumn ,Green ,Noted place ,Autumn leaves ,Plant ,Travel ,Tourist attractions ,Early summer ,Tourist attractions ,November ,Winter ,May ,Fresh green ,Landscape ,Snow ,Tohoku ,Green ,Red ,Temple ,World heritage site ,Yellow","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,木頭 ,觀光 ,建設 ,秋天 ,綠色 ,名所 ,紅葉 ,植物 ,旅行 ,觀光名所 ,初夏 ,11月 ,旅遊景點 ,冬 ,5月 ,鮮綠 ,景色 ,雪 ,東北 ,綠色 ,紅色 ,寺 ,世界文化遺產 ,黃色",,4.3,日本、〒029-4102 岩手県西磐井郡平泉町平泉衣関２０２
4,東北,仙台,奥松島,（株）奥松島公社 奥松島嵯峨渓遊覧船案内所,38.3428629,141.1500448,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Autumn ,Spring ,Green ,Noted place ,Plant ,Travel ,Sea ,Cherry ,Water surface ,May ,Fresh green ,Superb view ,Landscape ,Tohoku ,Green ,Blue ,Beautiful ,Trip ,Coast ,Forest ,Water ,Leaf ,Scenic spot","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,秋天 ,春天 ,綠色 ,名所 ,植物 ,旅行 ,海 ,櫻花 ,水面 ,5月 ,鮮綠 ,絶景 ,景色 ,東北 ,藍色 ,綠色 ,美麗 ,海岸 ,旅 ,森 ,水 ,葉 ,森林",,4.1,日本、〒981-0412 宮城県東松島市宮戸川原５−１
5,關東,茨城,國營常陸海濱公園,国営ひたち海浜公園,36.4060402,140.5982249,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Autumn ,Spring ,Green ,Flower ,Noted place ,Autumn leaves ,Cloud ,Plant ,Travel ,Tourist attractions ,Tourist attractions ,May ,Superb view ,October ,Landscape ,Sunny ,Park ,Blue ,August ,Beautiful ,Red ,Trip ,Kanto","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,秋天 ,春天 ,綠色 ,花 ,名所 ,紅葉 ,雲 ,植物 ,旅行 ,觀光名所 ,旅遊景點 ,5月 ,絶景 ,10月 ,景色 ,陽光明媚 ,公園 ,藍色 ,8月 ,紅色 ,美麗 ,旅 ,關東",,4.3,日本、〒312-0012 茨城県ひたちなか市馬渡大沼６０５−４
6,東北,青森,橫濱町油菜花田,菜の花畑,41.1159653,141.2727924,"Landscape ,Japan ,Nature ,Blue sky ,Spring ,Flower ,May ,Flower garden ,Aomori Prefecture ,Background ,Rape blossoms ,Field ,Agriculture ,Rape field ,Grazing ,Stock farm ,Cow ,Yokohama-cho ,Rape blossoms","風景 ,日本 ,自然 ,藍藍的天空 ,春天 ,花 ,5月 ,花卉園 ,青森縣 ,背景 ,油菜花 ,田 ,農業 ,油菜花田 ,放牧 ,牧場 ,牛 ,橫濱市 ,油菜",,4.2,日本、〒039-4114 青森県上北郡横浜町大豆田
7,北海道,道東,摩周湖,摩周湖,43.5872284,144.5237617,"Landscape ,Nature ,Blue sky ,Mountain ,Cloud ,Winter ,Hokkaido ,Snow ,Blue ,Beautiful ,Lake ,February ,Snowscape ,March ,Snow coverage ,Beautiful ,Sun ,Morning sun ,Dawn ,Bright ,Sunrise ,Ice ,Eastern part of Hokkaido ,Rime of trees ,Cold ,Akan National Park ,Lake Mashu ,Teshikaga-ｃho ,Caldera lake ,Severe winter","風景 ,自然 ,藍藍的天空 ,山 ,雲 ,冬 ,北海道 ,雪 ,藍色 ,美麗 ,湖 ,2月 ,雪景 ,3月 ,積雪 ,漂亮 ,太陽 ,朝日 ,黎明 ,光亮 ,日出 ,冰 ,道東 ,樹冰 ,冷 ,阿寒國家公園 ,摩周湖 ,弟子屈町 ,火山口湖 ,嚴寒",,4.4,日本、北海道川上郡弟子屈町 摩周湖
8,中部,金澤,金澤城公園,金沢城公園,36.5656885,136.6596996,"Landscape ,Japan ,Nature ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Building ,Autumn ,Spring ,Flower ,Noted place ,Autumn leaves ,Cloud ,Travel ,Tourist attractions ,April ,Tourist attractions ,November ,Cherry ,Winter ,May ,Fresh green ,Superb view ,Night ,Pink ,In full bloom ,Sunny ,Snow ,Park","風景 ,日本 ,自然 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,建設 ,秋天 ,春天 ,花 ,名所 ,紅葉 ,雲 ,旅行 ,觀光名所 ,4月 ,11月 ,旅遊景點 ,櫻花 ,冬 ,5月 ,鮮綠 ,絶景 ,晚上 ,粉色 ,盛開 ,陽光明媚 ,公園 ,雪",,4.2,日本、〒920-0937 石川県金沢市丸の内１−1番1号
9,北海道,道央,札幌白雪祭,大通公園,43.059875,141.3477599,"Landscape ,Japan ,Nature ,Sightseeing resort ,Tourism ,Building ,Tourist attractions ,Tourist attractions ,Daytime ,Buildings ,Winter ,Night view ,City ,Night ,Hokkaido ,Landscape ,Sunny ,Snow ,Park ,Light up ,Trip ,Light ,February ,Snowscape ,White ,Castle ,Event ,Festival ,Red ,Colorful","風景 ,日本 ,自然 ,觀光地 ,觀光 ,建設 ,觀光名所 ,中午 ,旅遊景點 ,建築物 ,冬 ,街 ,夜景 ,晚上 ,北海道 ,景色 ,陽光明媚 ,公園 ,雪 ,亮燈 ,旅 ,光 ,2月 ,雪景 ,白色 ,城 ,行事 ,祭典 ,紅 ,彩色的",,4.2,日本、〒060-0042 北海道札幌市中央区大通西７丁目
10,關東,東京,高尾山,高尾山,35.6254126,139.2437385,"Landscape ,Japan ,Nature ,Blue sky ,Sightseeing resort ,Tree ,Tourism ,Autumn ,Spring ,Green ,Mountain ,Flower ,Summer ,Noted place ,Plant ,Travel ,Tourist attractions ,Tourist attractions ,May ,Green ,June ,Temple ,Road ,Shrine ,Trip ,Forest ,Tokyo Metropolitan Area ,Kanto ,Leaf ,Historic building","風景 ,日本 ,自然 ,藍藍的天空 ,觀光地 ,木頭 ,觀光 ,秋天 ,春天 ,綠色 ,山 ,花 ,夏 ,名所 ,植物 ,旅行 ,觀光名所 ,旅遊景點 ,5月 ,綠色 ,6月 ,寺 ,道路 ,神社 ,旅 ,森 ,東京都 ,關東 ,歷史建築 ,葉",,4.3,日本、〒193-0844 東京都八王子市高尾町 高尾山
14,關東,東京,東京車站,東京駅,35.6812362,139.7671248,"Landscape ,Japan ,Blue sky ,Sunny ,Sightseeing resort ,Tourism ,Building ,Noted place ,Cloud ,Travel ,November ,Buildings ,Winter ,Water surface ,Night view ,City ,Night ,October ,Light up ,Cityscape ,Morning ,Trip ,Asia ,Water ,Light ,Tokyo Metropolitan Area ,Fine weather ,Kanto ,December ,Townscape","風景 ,日本 ,藍藍的天空 ,晴天 ,觀光地 ,觀光 ,建設 ,名所 ,雲 ,旅行 ,11月 ,建築物 ,冬 ,水面 ,街 ,夜景 ,晚上 ,10月 ,亮燈 ,街燈 ,早上 ,旅 ,亞洲 ,水 ,光 ,東京都 ,晴天 ,關東 ,12月 ,市區街道",,4.3,日本、東京都千代田区丸の内１丁目
18,中部,金澤,長町武家屋敷跡,長町武家屋敷跡,36.5636094,136.6507665,"Landscape ,Japan ,Sightseeing resort ,Tourism ,Noted place ,Travel ,Tourist attractions ,Winter ,May ,Landscape ,Snow ,June ,History ,Garden ,December ,Townscape ,Hokuriku ,Japanese-style ,Landscape ,Japanese garden ,Garden ,Stone path ,Ishikawa Prefecture ,Kanazawa ,Kanazawa-shi ,Excursion ,Samurai residence ,Samurai ,Nagamachi Samurai Houses ,Earthen walls","風景 ,日本 ,觀光地 ,觀光 ,名所 ,旅行 ,旅遊景點 ,冬 ,5月 ,景色 ,雪 ,6月 ,歷史 ,花園 ,12月 ,市區街道 ,北陸 ,日本風格 ,景觀 ,日本庭園 ,花園 ,石疊道路 ,石川縣 ,金澤 ,金澤市 ,遠足 ,老武士住宅 ,武士 ,長町武士房子 ,土牆",,4,日本、〒920-0865 石川県金沢市長町３
